0,0
50,0.1112256588
100,0.4471961889
150,1.00791159
200,1.793371863
250,2.803577008
300,3.927301365
350,5.051025722
400,6.174750079
450,7.298474436
500,8.422198793
550,9.54592315
600,10.66964751
650,11.79337186
700,12.91709622
750,14.04082058
800,15.16454493
850,16.28826929
900,17.41199365
950,18.53571801
1000,19.65944236
1050,20.78316672
1100,21.90689108
1150,23.03061543
1200,24.15433979
1250,25.27806415
1300,26.4017885
1350,27.52551286
1400,28.64923722
1450,29.77296157
1500,30.89668593
1550,32.02041029
1600,33.14413465
1650,34.267859
1700,35.39158336
1750,36.51530772
1800,37.63903207
1850,38.76275643
1900,39.88648079
1950,41.01020514
2000,42.1339295
2050,43.1464282
2100,43.93418203
2150,44.49719098
2200,44.83545507
2250,44.94897428
2300,44.72422941
2350,44.27473966
2400,43.60050505
2450,42.70152556
2500,41.57780121
2550,40.45407685
2600,39.33035249
2650,38.20662814
2700,37.08290378
2750,35.95917942
2800,34.83545507
2850,33.71173071
2900,32.58800635
2950,31.46428199
3000,30.34055764
3050,29.21683328
3100,28.09310892
3150,26.96938457
3200,25.84566021
3250,24.72193585
3300,23.5982115
3350,22.47448714
3400,21.35076278
3450,20.22703843
3500,19.10331407
3550,17.97958971
3600,16.85586535
3650,15.732141
3700,14.60841664
3750,13.48469228
3800,12.36096793
3850,11.23724357
3900,10.11351921
3950,8.989794856
4000,7.866070499
4050,6.742346142
4100,5.618621785
4150,4.494897428
4200,3.371173071
4250,2.247448714
4300,1.348469228
4350,0.6742346142
4400,0.2247448714
4450,0
